1885,George Washington,,,
1886,Thomas Jefferson,,,Can be offset by at least 1 year (2024 depending on DJT's reelection or vacation of office)
1887,John Adams,,,
1888,James Madison,,,
1889,James Munroe,,,
1890,John Quincy Adams,,,
1891,Andrew Jackson,,,
1892,Martin Van Buren,,,
1893,William Henry Harrison,,,
1894,John Tyler,,,
1895,James K. Polk,,,
1896,Zachary Taylor,,,
1897,Millard Fillmore,,,
1898,Franklin Pierce,,,
1899,James Buchanan,,,
1900,Abraham Lincoln,,,
1901,Andrew Johnson,,,
1902,Ulysses S. Grant,,,
1903,Rutherford B. Hayes,,,
1904,James Garfield,,,
1905,Chester Arthur,,,
1906,Grover Cleveland,,,
1907,Benjamin Harrison,,,
1908,William McKinley,,,
1909,Theodore Roosevelt,,,
1910,William H. Taft,,,
1911,George Washington,,,
1912,Thomas Jefferson,,,
1913,John Adams,,,
1914,James Madison,,,
1915,James Munroe,,,
1916,John Quincy Adams,,,
1917,Andrew Jackson,,,
1918,Martin Van Buren,,,
1919,William Henry Harrison,,,
1920,John Tyler,,,
1921,James K. Polk,,,
1922,Zachary Taylor,,,
1923,Millard Fillmore,,,
1924,Franklin Pierce,,,
1925,James Buchanan,,,
1926,Abraham Lincoln,,,
1927,Andrew Johnson,,,
1928,Ulysses S. Grant,,,
1929,Rutherford B. Hayes,,,
1930,James Garfield,,,
1931,Chester Arthur,,,
1932,Grover Cleveland,,,
1933,Benjamin Harrison,,,
1934,William McKinley,,,
1935,Theodore Roosevelt,,,
1936,William H. Taft,,,
1937,Woodrow Wilson,,,
1938,Warren Harding,,,
1939,Calvn Coolidge,,,
1940,Herbert Hoover,,,
1941,Franklin D. Roosevelt,,,
1942,George Washington,,,
1943,Thomas Jefferson,,,
1944,John Adams,,,
1945,James Madison,,,
1946,James Munroe,,,
1947,John Quincy Adams,,,
1948,Andrew Jackson,,,
1949,Martin Van Buren,,,
1950,William Henry Harrison,,,
1951,John Tyler,,,
1952,James K. Polk,,,
1953,Zachary Taylor,,,
1954,Millard Fillmore,,,
1955,Franklin Pierce,,,
1956,James Buchanan,,,
1957,Abraham Lincoln,,,
1958,Andrew Johnson,,,
1959,Ulysses S. Grant,,,
1960,Rutherford B. Hayes,,,
1961,James Garfield,,,
1962,Chester Arthur,,,
1963,Grover Cleveland,,,
1964,Benjamin Harrison,,,
1965,William McKinley,,,
1966,Theodore Roosevelt,,,
1967,William H. Taft,,,
1968,Woodrow Wilson,,,
1969,Warren Harding,,,
1970,Calvn Coolidge,,,
1971,Herbert Hoover,,,
1972,Franklin D. Roosevelt,,,
1973,Harry S. Truman,,,
1974,Dwight Eisenhower,,,
1975,John F. Kennedy,,,
1976,Lydon Johnson,,,
1977,Richard Nixon,,,
1978,Gerald Ford,,,
1979,Jimmy Carter,,,
1980,George Washington,,,
1981,Thomas Jefferson,,,
1982,John Adams,,,
1983,James Madison,,,
1984,James Munroe,,,
1985,John Quincy Adams,,,
1986,Andrew Jackson,,,
1987,Martin Van Buren,,,
1988,William Henry Harrison,,,
1989,John Tyler,,,
1990,James K. Polk,,,
1991,Zachary Taylor,,,
1992,Millard Fillmore,,,
1993,Franklin Pierce,,,
1994,James Buchanan,,,
1995,Abraham Lincoln,,,
1996,Andrew Johnson,,,
1997,Ulysses S. Grant,,,
1998,Rutherford B. Hayes,,,
1999,James Garfield,,,
2000,Chester Arthur,,,
2001,Grover Cleveland,,,
2002,Benjamin Harrison,,,
2003,William McKinley,,,
2004,Theodore Roosevelt,,,
2005,William H. Taft,,,
2006,Woodrow Wilson,,,
2007,Warren Harding,,,
2008,Calvn Coolidge,,,
2009,Herbert Hoover,,,
2010,Franklin D. Roosevelt,,,
2011,Harry S. Truman,,,
2012,Dwight Eisenhower,,,
2013,John F. Kennedy,,,
2014,Lydon Johnson,,,
2015,Richard Nixon,,,
2016,Gerald Ford,,,
2017,Jimmy Carter,,,
2018,Ronald Reagan,,,
2019,George H. W. Bush,,,
2020,William Clinton,,,
2021,George W. Bush,,,
2022,Barack Obama,,,
2023,Donald Trump,,,
2024,?????,,,
2025,George Washington,,,
2026,Thomas Jefferson,,,
2027,John Adams,,,
2028,James Madison,,,
2029,James Munroe,,,
2030,John Quincy Adams,,,
2031,Andrew Jackson,,,
2032,Martin Van Buren,,,
2033,William Henry Harrison,,,
2034,John Tyler,,,
2035,James K. Polk,,,
2036,Zachary Taylor,,,
2037,Millard Fillmore,,,
2038,Franklin Pierce,,,
2039,James Buchanan,,,
2040,Abraham Lincoln,,,
2041,Andrew Johnson,,,
2042,Ulysses S. Grant,,,
2043,Rutherford B. Hayes,,,
2044,James Garfield,,,
2045,Chester Arthur,,,
2046,Grover Cleveland,,,
2047,Benjamin Harrison,,,
2048,William McKinley,,,
2049,Theodore Roosevelt,,,
2050,William H. Taft,,,
2051,Woodrow Wilson,,,
2052,Warren Harding,,,
2053,Calvn Coolidge,,,
2054,Herbert Hoover,,,
2055,Franklin D. Roosevelt,,,
2056,Harry S. Truman,,,
2057,Dwight Eisenhower,,,
2058,John F. Kennedy,,,
2059,Lydon Johnson,,,
2060,Richard Nixon,,,
2061,Gerald Ford,,,
2062,Jimmy Carter,,,
2063,Ronald Reagan,,,
2064,George H. W. Bush,,,
2065,William Clinton,,,
2066,George W. Bush,,,
2067,Barack Obama,,,
2068,Donald Trump,,,
